Canonical_SMILES,QED,ADMET_risk_favorability,expected_favorability,residual
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.551,62.607,49.374,13.234
CC(=O)[O-].CC(=O)[O-].[Ca+2],0.355,83.678,50.154,33.524
O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O.O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O.[Ca+2],0.195,74.05,50.789,23.262
[Ca+2].[N-]=C=[N-],0.288,79.442,50.419,29.024
[Ca+2].[Cl-].[Cl-],0.273,78.194,50.481,27.713
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Ca+2].[Ca+2].[Ca+2],0.264,79.35,50.514,28.837
O=C([O][Ca][O]C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.078,66.406,51.253,15.153
O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],0.113,84.528,51.116,33.412
O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],0.144,84.835,50.993,33.842
O=P([O-])([O-])OC(CO)CO.[Ca+2],0.373,76.072,50.082,25.99
CC(O)C(=O)[O-].CC(O)C(=O)[O-].[Ca+2],0.454,87.117,49.761,37.356
CC(=O)CCC(=O)[O-].CC(=O)CCC(=O)[O-].[Ca+2],0.507,77.206,49.549,27.657
O.O.O=P([O-])([O-])O.[Ca+2],0.291,84.283,50.409,33.874
O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-].[Ca+2],0.349,87.714,50.178,37.537
O=C([O-])[C@H](O)[C@@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)CO.[Ca+2],0.256,86.811,50.549,36.262
C=CCCCCCCCCC(=O)[O-].C=CCCCCCCCCC(=O)[O-].[Ca+2],0.197,68.29,50.78,17.51
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0.521,69.393,49.495,19.898
Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,0.486,34.206,49.633,-15.427
CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0.141,15.778,51.005,-35.227
CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(OC2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)CC(O)CC(O)CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(O)CC(=O)c1ccc(N)cc1,0.069,36.918,51.291,-14.373
CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O,0.045,23.729,51.386,-27.657
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,0.511,38.067,49.535,-11.468
C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)CCC(=O)O,0.802,68.382,48.375,20.007
CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,0.489,31.173,49.622,-18.448
C[C@@H]1NC(=O)[C@@H](N)CNC(=O)[C@H]([C@H]2CCN=C(N)N2)NC(=O)/C(=C\NC(N)=O)NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC1=O.NCCC[C@H](N)CC(=O)NC[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC(=O)[C@H]([C@H]2CCN=C(N)N2)NC(=O)/C(=C\NC(N)=O)NC1=O,0.053,57.797,51.353,6.445
NC(N)=O.OO,0.229,88.189,50.655,37.535
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,0.073,47.763,51.275,-3.512
N[C@@H](CSCC(=O)O)C(=O)O,0.511,85.555,49.532,36.022
CCOC(=O)COc1ccc2c(C)c(CCN(CC)CC)c(=O)oc2c1,0.505,30.07,49.557,-19.486
CCCCC[C@](C)(O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O.NC(CO)(CO)CO,0.123,72.028,51.076,20.953
CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,0.152,26.792,50.96,-24.168
NC(=O)N[C@@H](CCC(=O)O)C(=O)O,0.44,86.412,49.815,36.597
